Name,Industry,% Change
Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.91
Asian Paints Ltd.,CONSUMER GOODS,-2.17
Axis Bank Ltd.,FINANCIAL SERVICES,-21.78
Bajaj Auto Ltd.,AUTOMOBILE,11.29
Bajaj Finance Ltd.,FINANCIAL SERVICES,-41.35
Bajaj Finserv Ltd.,FINANCIAL SERVICES,-34.07
Bharat Petroleum Corporation Ltd.,OIL & GAS,-1.61
Bharti Airtel Ltd.,TELECOM,4.56
Bharti Infratel Ltd.,TELECOM,-23.26
Britannia Industries Ltd.,CONSUMER GOODS,14.55
Cipla Ltd.,PHARMA,38.55
Coal India Ltd.,METALS,-3.63
Dr. Reddy's Laboratories Ltd.,PHARMA,36.44
Eicher Motors Ltd.,AUTOMOBILE,-16.77
GAIL (India) Ltd.,OIL & GAS,13.19
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,-16.54
HCL Technologies Ltd.,IT,10.28
HDFC Bank Ltd.,FINANCIAL SERVICES,-6.36
Hero MotoCorp Ltd.,AUTOMOBILE,15.01
Hindalco Industries Ltd.,METALS,2.16
Hindustan Unilever Ltd.,CONSUMER GOODS,7.96
GAIL (India) Ltd.,OIL & GAS,13.19
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,-7.30
ICICI Bank Ltd.,FINANCIAL SERVICES,-14.99
ITC Ltd.,CONSUMER GOODS,12.20
Indian Oil Corporation Ltd.,OIL & GAS,-8.73
IndusInd Bank Ltd.,FINANCIAL SERVICES,-41.75
Infosys Ltd.,IT,11.39
JSW Steel Ltd.,METALS,-15.94
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,-7.68
Larsen & Toubro Ltd.,CONSTRUCTION,-14.64
Mahindra & Mahindra Ltd.,AUTOMOBILE,-14.50
Maruti Suzuki India Ltd.,AUTOMOBILE,-8.22
NTPC Ltd.,POWER,-3.06
Nestle India Ltd.,CONSUMER GOODS,19.56
Oil & Natural Gas Corporation Ltd.,OIL & GAS,21.24
Power Grid Corporation of India Ltd.,POWER,-3.48
Reliance Industries Ltd.,OIL & GAS,32.63
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,-7.23
State Bank of India,FINANCIAL SERVICES,-21.28
Sun Pharmaceutical Industries Ltd.,PHARMA,20.89
Tata Consultancy Services Ltd.,IT,11.52
Tata Motors Ltd.,AUTOMOBILE,3.90
Tata Steel Ltd.,METALS,-8.69
Tech Mahindra Ltd.,IT,-16.72
UPL Ltd.,FERTILISERS & PESTICIDES,2.24
Titan Company Ltd.,CONSUMER GOODS,-10.54
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,-6.72
Vedanta Ltd.,METALS,6.54
Wipro Ltd.,IT,-3.27
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,-12.83
ACC Ltd.,CEMENT & CEMENT PRODUCTS,-0.03
Adani Transmission Ltd.,POWER,16.60
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,-8.58
Ashok Leyland Ltd.,AUTOMOBILE,-21.51
Aurobindo Pharma Ltd.,PHARMA,50.73
Avenue Supermarts Ltd.,CONSUMER GOODS,13.45
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,-31.03
Bandhan Bank Ltd.,FINANCIAL SERVICES,-19.91
Bank of Baroda,FINANCIAL SERVICES,-24.71
Berger Paints India Ltd.,CONSUMER GOODS,10.96
Biocon Ltd.,PHARMA,22.90
Bosch Ltd.,AUTOMOBILE,-7.78
Cadila Healthcare Ltd.,PHARMA,28.78
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,21.50
Container Corporation of India Ltd.,SERVICES,-4.00
DLF Ltd.,CONSTRUCTION,-11.93
Dabur India Ltd.,CONSUMER GOODS,8.59
Divi's Laboratories Ltd.,PHARMA,18.86
General Insurance Corporation of India,FINANCIAL SERVICES,0.18
Godrej Consumer Products Ltd.,CONSUMER GOODS,-0.92
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,-5.60
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,-1.20
Havells India Ltd.,CONSUMER GOODS,-6.16
Hindustan Petroleum Corporation Ltd.,OIL & GAS,11.49
Hindustan Zinc Ltd.,METALS,23.70
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,14.65
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,7.59
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,-18.89
InterGlobe Aviation Ltd.,SERVICES,-0.36
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,-21.39
Lupin Ltd.,PHARMA,37.87
Marico Ltd.,CONSUMER GOODS,10.11
Motherson Sumi Systems Ltd.,AUTOMOBILE,37.12
NHPC Ltd.,POWER,1.22
NMDC Ltd.,METALS,6.69
Oracle Financial Services Software Ltd.,IT,6.70
Page Industries Ltd.,TEXTILES,-8.66
Petronet LNG Ltd.,OIL & GAS,5.91
Pidilite Industries Ltd.,CHEMICALS,0.21
Piramal Enterprises Ltd.,FINANCIAL SERVICES,-3.78
Power Finance Corporation Ltd.,FINANCIAL SERVICES,-6.88
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,4.34
Punjab National Bank,FINANCIAL SERVICES,-13.64
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,-4.61
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,-5.45
Siemens Ltd.,INDUSTRIAL MANUFACTURING,-6.09
The New India Assurance Company Ltd.,FINANCIAL SERVICES,34.06
United Breweries Ltd.,CONSUMER GOODS,-10.50
United Spirits Ltd.,CONSUMER GOODS,-5.00
Vodafone Idea Ltd.,TELECOM,-25.00
