Name,Industry,% Change
Adani Ports and Special Economic Zone Ltd.,SERVICES,-5.138797676
Asian Paints Ltd.,CONSUMER GOODS,29.82864415
Axis Bank Ltd.,FINANCIAL SERVICES,-6.384520899
Bajaj Auto Ltd.,AUTOMOBILE,7.345371354
Bajaj Finance Ltd.,FINANCIAL SERVICES,40.08869196
Bajaj Finserv Ltd.,FINANCIAL SERVICES,19.17512865
Bharat Petroleum Corporation Ltd.,OIL & GAS,20.89297124
Bharti Airtel Ltd.,TELECOM,53.88443793
Bharti Infratel Ltd.,TELECOM,-16.31386752
Britannia Industries Ltd.,CONSUMER GOODS,19.80231687
Cipla Ltd.,PHARMA,-21.24889495
Coal India Ltd.,METALS,-29.13526785
Dr. Reddy's Laboratories Ltd.,PHARMA,8.141153072
Eicher Motors Ltd.,AUTOMOBILE,-2.303918339
GAIL (India) Ltd.,OIL & GAS,-33.70965638
Grasim Industries Ltd.,INFRASTRUCTURE,-13.15862648
HCL Technologies Ltd.,IT,1.325392884
HDFC Bank Ltd.,FINANCIAL SERVICES,0.74580253
Hero MotoCorp Ltd.,AUTOMOBILE,-7.377017511
Hindalco Industries Ltd.,METALS,-11.36031317
Hindustan Unilever Ltd.,CONSUMER GOODS,28.66168037
GAIL (India) Ltd.,OIL & GAS,-33.70965638
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,12.62709195
ICICI Bank Ltd.,FINANCIAL SERVICES,28.31010538
ITC Ltd.,CONSUMER GOODS,-31.7666373
Indian Oil Corporation Ltd.,OIL & GAS,-30.8037098
IndusInd Bank Ltd.,FINANCIAL SERVICES,-18.85519752
Infosys Ltd.,IT,6.053074828
JSW Steel Ltd.,METALS,-18.56888615
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,18.22894217
Larsen & Toubro Ltd.,INFRASTRUCTURE,-5.643147063
Mahindra & Mahindra Ltd.,AUTOMOBILE,-13.48714426
Maruti Suzuki India Ltd.,AUTOMOBILE,4.49031006
NTPC Ltd.,POWER,-18.60464936
