Name,Industry,% Change
Avenue Supermarts Ltd.,CONSUMER GOODS,58.77857165
Berger Paints India Ltd.,CONSUMER GOODS,51.47483844
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,49.02845311
Nestle India Ltd.,CONSUMER GOODS,48.4450223
Bharti Airtel Ltd.,TELECOM,40.2775668
Asian Paints Ltd.,CONSUMER GOODS,28.13943994
Hindustan Unilever Ltd.,CONSUMER GOODS,21.39883036
Bajaj Finance Ltd.,FINANCIAL SERVICES,20.00417695
Dabur India Ltd.,CONSUMER GOODS,19.73960695
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,14.15811563
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,13.18226076
Divi's Laboratories Ltd.,PHARMA,12.39496733
ICICI Bank Ltd.,FINANCIAL SERVICES,5.93579062
Britannia Industries Ltd.,CONSUMER GOODS,4.246796512
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,3.3326279
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,2.920961157
United Spirits Ltd.,CONSUMER GOODS,2.306533714
Shree Cement Ltd.,INFRASTRUCTURE,2.021453538
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,1.461063542
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,-0.026871658
Biocon Ltd.,PHARMA,-0.35387207
Dr. Reddy's Laboratories Ltd.,PHARMA,-1.962202272
Bajaj Finserv Ltd.,FINANCIAL SERVICES,-2.441572693
Titan Company Ltd.,CONSUMER GOODS,-5.964809054
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,-6.514158265
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,-7.626414104
Petronet LNG Ltd.,OIL & GAS,-8.70960476
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,-8.798640491
Bharat Petroleum Corporation Ltd.,OIL & GAS,-9.57321392
DLF Ltd.,INFRASTRUCTURE,-11.82916738
Godrej Consumer Products Ltd.,CONSUMER GOODS,-12.65299244
Infosys Ltd.,IT,-12.76948135
Power Grid Corporation of India Ltd.,POWER,-12.9682993
HCL Technologies Ltd.,IT,-13.67831936
HDFC Bank Ltd.,FINANCIAL SERVICES,-13.7393673
Maruti Suzuki India Ltd.,AUTOMOBILE,-15.89940534
NHPC Ltd.,POWER,-15.92356756
Tata Consultancy Services Ltd.,IT,-16.98639887
Eicher Motors Ltd.,AUTOMOBILE,-17.07177993
Bharti Infratel Ltd.,TELECOM,-19.23357555
UltraTech Cement Ltd.,INFRASTRUCTURE,-19.76565922
Tech Mahindra Ltd.,IT,-20.49792551
Ambuja Cements Ltd.,INFRASTRUCTURE,-20.83897051
Power Finance Corporation Ltd.,FINANCIAL SERVICES,-20.90988659
Sun Pharmaceutical Industries Ltd.,PHARMA,-21.72090723
United Breweries Ltd.,CONSUMER GOODS,-21.93723297
Cadila Healthcare Ltd.,PHARMA,-22.03390182
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,-22.06733615
Bajaj Auto Ltd.,AUTOMOBILE,-23.55911751
Adani Transmission Ltd.,POWER,-24.28372895
Reliance Industries Ltd.,OIL & GAS,-24.54838925
Havells India Ltd.,CONSUMER GOODS,-24.87342321
