Security,Industry,Change_Since Lockdown
3MINDIA,SERVICES,-1%
AARTIIND,CHEMICALS,19%
AAVAS,FINANCIAL SERVICES,-6%
ABBOTINDIA,HEALTHCARE,3%
ABCAPITAL,FINANCIAL SERVICES,-5%
ABFRL,CONSUMER GOODS,-17%
ACC,INFRASTRUCTURE,3%
ADANIGAS,ENERGY,6%
ADANIGREEN,ENERGY,9%
ADANIPORTS,SERVICES,8%
ADANIPOWER,ENERGY,6%
ADANITRANS,ENERGY,3%
ADVENZYMES,CONSUMER GOODS,-12%
AEGISCHEM,ENERGY,5%
AFFLE,MEDIA & ENTERTAINMENT,14%
AIAENG,INDUSTRIAL MANUFACTURING,15%
AJANTPHARM,CONSUMER GOODS,9%
AKZOINDIA,HEALTHCARE,-1%
ALKEM,HEALTHCARE,-6%
ALLCARGO,SERVICES,-2%
AMARAJABAT,AUTOMOBILE,9%
AMBER,CONSUMER GOODS,-4%
AMBUJACEM,INFRASTRUCTURE,1%
APLAPOLLO,METALS,22%
APLLTD,HEALTHCARE,18%
APOLLOHOSP,HEALTHCARE,-2%
APOLLOTYRE,AUTOMOBILE,2%
ARVINDFASN,CONSUMER GOODS,1%
ASAHIINDIA,AUTOMOBILE,4%
ASHOKA,INFRASTRUCTURE,4%
ASHOKLEY,AUTOMOBILE,12%
ASIANPAINT,CONSUMER GOODS,1%
ASTERDM,HEALTHCARE,-5%
ASTRAL,INDUSTRIAL MANUFACTURING,5%
ASTRAZEN,HEALTHCARE,18%
ATUL,CHEMICALS,12%
AUBANK,FINANCIAL SERVICES,6%
AUROPHARMA,HEALTHCARE,15%
AVANTIFEED,CONSUMER GOODS,4%
AXISBANK,FINANCIAL SERVICES,5%
BAJAJ-AUTO,AUTOMOBILE,12%
BAJAJCON,CONSUMER GOODS,2%
BAJAJELEC,CONSUMER GOODS,1%
BAJAJFINSV,FINANCIAL SERVICES,9%
BAJAJHLDNG,FINANCIAL SERVICES,-2%
BAJFINANCE,FINANCIAL SERVICES,4%
BALKRISIND,AUTOMOBILE,3%
BALMLAWRIE,INDUSTRIAL MANUFACTURING,1%
BALRAMCHIN,CONSUMER GOODS,-6%
BANDHANBNK,FINANCIAL SERVICES,32%
