Company Name,Industry,Change in 1 Year
3M India Ltd,SERVICES,-15.38
Aarti Industries Ltd,CHEMICALS,35.88
Aavas Financiers Ltd,FINANCIAL SERVICES,-0.86
Abbott India Ltd,PHARMA,138.92
ACC Ltd,CEMENT & CEMENT PRODUCTS,-27.75
Adani Gas Ltd,OIL & GAS,-21.38
Adani Green Energy Ltd,POWER,425.47
Adani Ports and Special Economic Zone Ltd,SERVICES,-26.15
Adani Power Ltd,POWER,-29.51
Adani Transmission Ltd,POWER,-5.57
Aditya Birla Capital Ltd,FINANCIAL SERVICES,-48.9
Aditya Birla Fashion and Retail Ltd,CONSUMER GOODS,-46.42
Advanced Enzyme Tech Ltd,CONSUMER GOODS,-23.37
Aegis Logistics Ltd,OIL & GAS,-12.48
AIA Engineering Ltd,INDUSTRIAL MANUFACTURING,-11.38
Ajanta Pharmaceuticals Ltd,PHARMA,50.16
Akzo Nobel India Ltd,CONSUMER GOODS,21.37
Alembic Pharmaceuticals Ltd,PHARMA,33.42
Alkem Laboratories Ltd,PHARMA,51.27
Allcargo Logistics Ltd,SERVICES,-30.21
Amara Raja Batteries Ltd,AUTOMOBILE,-13.81
Amber Enterprises India Ltd,CONSUMER GOODS,36.87
Ambuja Cements Ltd,CEMENT & CEMENT PRODUCTS,-22.15
APL Apollo Tubes Ltd,METALS,-10.08
Apollo Hospitals Enterprise Ltd,HEALTHCARE SERVICES,14.62
Apollo Tyres Ltd,AUTOMOBILE,-53.26
Arvind Fashions Ltd,CONSUMER GOODS,-86.11
Asahi India Glass Ltd,AUTOMOBILE,-28.38
Ashok Leyland Ltd,AUTOMOBILE,-39.79
Ashoka Buildcon Ltd,CONSTRUCTION,-48.47
Asian Paints Ltd,CONSUMER GOODS,20.2
Aster DM Healthcare Ltd,HEALTHCARE SERVICES,-32.71
Astral Poly Technik Ltd,INDUSTRIAL MANUFACTURING,-4.66
AstraZenca Pharma India Ltd,PHARMA,28.77
Atul Ltd,CHEMICALS,41.61
AU Small Finance Bank Ltd,FINANCIAL SERVICES,-15.57
Aurobindo Pharma Ltd,PHARMA,-23.59
Avanti Feeds Ltd,CONSUMER GOODS,19.35
Avenue Supermarts Ltd,CONSUMER GOODS,83.99
Axis Bank Ltd,FINANCIAL SERVICES,-41.98
Bajaj Auto Ltd,AUTOMOBILE,-12.09
Bajaj Consumer Care Ltd,CONSUMER GOODS,-55.86
Bajaj Electricals Ltd,CONSUMER GOODS,-40.47
Bajaj Finance Ltd,FINANCIAL SERVICES,-25.12
Bajaj Finserv Ltd,FINANCIAL SERVICES,-32.13
Bajaj Holdings and Investment Ltd,FINANCIAL SERVICES,-33.97
Balkrishna Industries Ltd,AUTOMOBILE,2.24
Balmer Lawrie and Co Ltd,INDUSTRIAL MANUFACTURING,-11.19
Balrampur Chini Mills Ltd,CONSUMER GOODS,-34.16
Bandhan Bank Ltd,FINANCIAL SERVICES,-56.23
Bank of Baroda,FINANCIAL SERVICES,-57.82
Bank of India,FINANCIAL SERVICES,-60.11
Bank of Maharashtra,FINANCIAL SERVICES,-47.24
BASF India Ltd,CHEMICALS,-22.7
Bata India Ltd,CONSUMER GOODS,-6.11
Bayer Cropscience Ltd,FERTILISERS & PESTICIDES,4.58
BEML Ltd,INDUSTRIAL MANUFACTURING,-32.93
Berger Paints India Ltd,CONSUMER GOODS,59.4
Bharat Dynamics Ltd,INDUSTRIAL MANUFACTURING,-22.28
Bharat Forge Ltd,INDUSTRIAL MANUFACTURING,-34.53
Bharat Heavy Electricals Ltd,INDUSTRIAL MANUFACTURING,-68.29
Bharti Airtel Ltd,TELECOM,60.57
Bharti Infratel Ltd,TELECOM,-33.57
Biocon Ltd,PHARMA,19.28
Birla Corporation Ltd,CEMENT & CEMENT PRODUCTS,-18.57
Blue Dart Express Ltd,SERVICES,-32.1
Blue Star Ltd,CONSUMER GOODS,-21.22
Bombay Burmah Trading Corporation Ltd,CONSUMER GOODS,-27.48
Bombay Dyeing and Manufacturing Co Ltd,CONSTRUCTION,-54.15
Bosch Ltd,AUTOMOBILE,-41.1
Brigade Enterprises Ltd,CONSTRUCTION,-19.2
Britannia Industries Ltd,CONSUMER GOODS,9.31
BSE Ltd,FINANCIAL SERVICES,-37.05
Cadila Healthcare Ltd,PHARMA,-0.46
Can Fin Homes Ltd,FINANCIAL SERVICES,0.46
Canara Bank,FINANCIAL SERVICES,-66.25
Caplin Point Laboratories Ltd,PHARMA,-3.14
Capri Global Capital Ltd,FINANCIAL SERVICES,-9.07
Carborundum Universal Ltd,INDUSTRIAL MANUFACTURING,-38.54
CARE Ratings Ltd,FINANCIAL SERVICES,-62.5
Castrol India Ltd,OIL & GAS,-15.01
CCL Products (I) Ltd,CONSUMER GOODS,-25.05
Ceat Ltd,AUTOMOBILE,-23.71
Central Bank of India,FINANCIAL SERVICES,-50.32
Central Depository Services (India) Ltd,FINANCIAL SERVICES,-3.53
Century Plyboards (India) Ltd,CONSUMER GOODS,-29.8
Cera Sanitaryware Ltd,CONSTRUCTION,-21.4
CESC Ltd,POWER,-6.45
